full_name,full_name_l1,abs,displacement,mileage_highway,mileage_city,fuel_economy,model_name_l1,make_name_l1,performance_rating,fuel_economy_rating,reliability_rating,technology_rating,comfort_rating,safety_rating,storage_rating,value_to_money_rating,id,rest,make_slug,model_slug,overall_rating,url,new_url,displacement_l1,transmission_type,transmission_type_l1,mileage,image,logo,price,version_slug,make_name,model_name,mapped_mk_id,mapped_model_id
Volkswagen Golf R SEL 2 Door,فولكس فاجن جولف R SEL 2 Door,True,2000 cc,,,8.5,Volkswagen Golf,فولكس فاجن,0,0,0,0,0,0,0,0,6859,"{'full_name': 'Volkswagen Golf R SEL 2 Door', 'full_name_l1': 'فولكس فاجن جولف R SEL 2 Door', 'abs': True, 'displacement': 2000, 'mileage_highway': None, 'mileage_city': None, 'fuel_economy': 8.5, 'model_name_l1': 'Volkswagen Golf', 'make_name_l1': 'فولكس فاجن', 'performance_rating': None, 'fuel_economy_rating': None, 'reliability_rating': None, 'technology_rating': None, 'comfort_rating': None, 'safety_rating': None, 'storage_rating': None, 'value_to_money_rating': None}",volkswagen,golf,0,/new-cars/volkswagen/golf/r-sel-2-door,/car-reviews/volkswagen/golf/,2000  سي سي,Automatic,أوتوماتيك,"{'min': 8.5, 'max': 8.5, 'unit': 'liters/100km', 'unit_l1': 'لتر/100كم'}",https://car-pims-motors-content.dubizzlelabs.run/car_images/volkswagen/golf/8th-gen-9/volkswagen__golf__8th-gen-9__1.jpg,https://car-pims-motors-content.dubizzlelabs.run/Volkswagen_0ab1ab8296.png,311850,r-sel-2-door,Volkswagen,Volkswagen Golf,volkswagen,golf
Volkswagen Golf R SEL,فولكس فاجن جولف R SEL,True,2000 cc,,,8.5,Volkswagen Golf,فولكس فاجن,0,0,0,0,0,0,0,0,6858,"{'full_name': 'Volkswagen Golf R SEL', 'full_name_l1': 'فولكس فاجن جولف R SEL', 'abs': True, 'displacement': 2000, 'mileage_highway': None, 'mileage_city': None, 'fuel_economy': 8.5, 'model_name_l1': 'Volkswagen Golf', 'make_name_l1': 'فولكس فاجن', 'performance_rating': None, 'fuel_economy_rating': None, 'reliability_rating': None, 'technology_rating': None, 'comfort_rating': None, 'safety_rating': None, 'storage_rating': None, 'value_to_money_rating': None}",volkswagen,golf,0,/new-cars/volkswagen/golf/r-sel,/car-reviews/volkswagen/golf/,2000  سي سي,Automatic,أوتوماتيك,"{'min': 8.5, 'max': 8.5, 'unit': 'liters/100km', 'unit_l1': 'لتر/100كم'}",https://car-pims-motors-content.dubizzlelabs.run/car_images/volkswagen/golf/8th-gen-9/volkswagen__golf__8th-gen-9__1.jpg,https://car-pims-motors-content.dubizzlelabs.run/Volkswagen_0ab1ab8296.png,311850,r-sel,Volkswagen,Volkswagen Golf,volkswagen,golf
Volkswagen Golf 1.2L  S,فولكس فاجن جولف 1.2L S,True,2000 cc,,,4.8,Volkswagen Golf,فولكس فاجن,0,0,0,0,0,0,0,0,6850,"{'full_name': 'Volkswagen Golf 1.2L  S', 'full_name_l1': 'فولكس فاجن جولف 1.2L S', 'abs': True, 'displacement': 2000, 'mileage_highway': None, 'mileage_city': None, 'fuel_economy': 4.8, 'model_name_l1': 'Volkswagen Golf', 'make_name_l1': 'فولكس فاجن', 'performance_rating': None, 'fuel_economy_rating': None, 'reliability_rating': None, 'technology_rating': None, 'comfort_rating': None, 'safety_rating': None, 'storage_rating': None, 'value_to_money_rating': None}",volkswagen,golf,0,/new-cars/volkswagen/golf/1-2l-s,/car-reviews/volkswagen/golf/,2000  سي سي,Automatic,أوتوماتيك,"{'min': 4.8, 'max': 4.8, 'unit': 'liters/100km', 'unit_l1': 'لتر/100كم'}",https://car-pims-motors-content.dubizzlelabs.run/car_images/volkswagen/golf/8th-gen-9/volkswagen__golf__8th-gen-9__1.jpg,https://car-pims-motors-content.dubizzlelabs.run/Volkswagen_0ab1ab8296.png,0,1-2l-s,Volkswagen,Volkswagen Golf,volkswagen,golf
Volkswagen Golf GTI Sport,فولكس فاجن جولف GTI Sport,,-,,,6.4,Volkswagen Golf,فولكس فاجن,0,0,0,0,0,0,0,0,6855,"{'full_name': 'Volkswagen Golf GTI Sport', 'full_name_l1': 'فولكس فاجن جولف GTI Sport', 'abs': None, 'displacement': 0, 'mileage_highway': None, 'mileage_city': None, 'fuel_economy': 6.4, 'model_name_l1': 'Volkswagen Golf', 'make_name_l1': 'فولكس فاجن', 'performance_rating': None, 'fuel_economy_rating': None, 'reliability_rating': None, 'technology_rating': None, 'comfort_rating': None, 'safety_rating': None, 'storage_rating': None, 'value_to_money_rating': None}",volkswagen,golf,0,/new-cars/volkswagen/golf/gti-sport,/car-reviews/volkswagen/golf/,-,Automatic,أوتوماتيك,"{'min': 6.4, 'max': 6.4, 'unit': 'liters/100km', 'unit_l1': 'لتر/100كم'}",https://car-pims-motors-content.dubizzlelabs.run/car_images/volkswagen/golf/8th-gen-9/volkswagen__golf__8th-gen-9__1.jpg,https://car-pims-motors-content.dubizzlelabs.run/Volkswagen_0ab1ab8296.png,229350,gti-sport,Volkswagen,Volkswagen Golf,volkswagen,golf
Volkswagen Golf GTI Package 2 (230 HP),فولكس فاجن جولف GTI Package 2 230 HP,True,2000 cc,,,6.3,Volkswagen Golf,فولكس فاجن,0,0,0,0,0,0,0,0,6854,"{'full_name': 'Volkswagen Golf GTI Package 2 (230 HP)', 'full_name_l1': 'فولكس فاجن جولف GTI Package 2 230 HP', 'abs': True, 'displacement': 2000, 'mileage_highway': None, 'mileage_city': None, 'fuel_economy': 6.3, 'model_name_l1': 'Volkswagen Golf', 'make_name_l1': 'فولكس فاجن', 'performance_rating': None, 'fuel_economy_rating': None, 'reliability_rating': None, 'technology_rating': None, 'comfort_rating': None, 'safety_rating': None, 'storage_rating': None, 'value_to_money_rating': None}",volkswagen,golf,0,/new-cars/volkswagen/golf/gti-package-2-230-hp,/car-reviews/volkswagen/golf/,2000  سي سي,Automatic,أوتوماتيك,"{'min': 6.3, 'max': 6.3, 'unit': 'liters/100km', 'unit_l1': 'لتر/100كم'}",https://car-pims-motors-content.dubizzlelabs.run/car_images/volkswagen/golf/8th-gen-9/volkswagen__golf__8th-gen-9__1.jpg,https://car-pims-motors-content.dubizzlelabs.run/Volkswagen_0ab1ab8296.png,211200,gti-package-2-230-hp,Volkswagen,Volkswagen Golf,volkswagen,golf
Volkswagen Golf 1.4 TSI SEL,فولكس فاجن جولف 1.4 TSI SEL,True,1400 cc,,,4.7,Volkswagen Golf,فولكس فاجن,0,0,0,0,0,0,0,0,6852,"{'full_name': 'Volkswagen Golf 1.4 TSI SEL', 'full_name_l1': 'فولكس فاجن جولف 1.4 TSI SEL', 'abs': True, 'displacement': 1400, 'mileage_highway': None, 'mileage_city': None, 'fuel_economy': 4.7, 'model_name_l1': 'Volkswagen Golf', 'make_name_l1': 'فولكس فاجن', 'performance_rating': None, 'fuel_economy_rating': None, 'reliability_rating': None, 'technology_rating': None, 'comfort_rating': None, 'safety_rating': None, 'storage_rating': None, 'value_to_money_rating': None}",volkswagen,golf,0,/new-cars/volkswagen/golf/1-4-tsi-sel,/car-reviews/volkswagen/golf/,1400  سي سي,Automatic,أوتوماتيك,"{'min': 4.7, 'max': 4.7, 'unit': 'liters/100km', 'unit_l1': 'لتر/100كم'}",https://car-pims-motors-content.dubizzlelabs.run/car_images/volkswagen/golf/8th-gen-9/volkswagen__golf__8th-gen-9__1.jpg,https://car-pims-motors-content.dubizzlelabs.run/Volkswagen_0ab1ab8296.png,0,1-4-tsi-sel,Volkswagen,Volkswagen Golf,volkswagen,golf
Volkswagen Golf 1.2 TSI SEL,فولكس فاجن جولف 1.2 TSI SEL,True,1200 cc,,,4.9,Volkswagen Golf,فولكس فاجن,0,0,0,0,0,0,0,0,6851,"{'full_name': 'Volkswagen Golf 1.2 TSI SEL', 'full_name_l1': 'فولكس فاجن جولف 1.2 TSI SEL', 'abs': True, 'displacement': 1200, 'mileage_highway': None, 'mileage_city': None, 'fuel_economy': 4.9, 'model_name_l1': 'Volkswagen Golf', 'make_name_l1': 'فولكس فاجن', 'performance_rating': None, 'fuel_economy_rating': None, 'reliability_rating': None, 'technology_rating': None, 'comfort_rating': None, 'safety_rating': None, 'storage_rating': None, 'value_to_money_rating': None}",volkswagen,golf,0,/new-cars/volkswagen/golf/1-2-tsi-sel,/car-reviews/volkswagen/golf/,1200  سي سي,Automatic,أوتوماتيك,"{'min': 4.9, 'max': 4.9, 'unit': 'liters/100km', 'unit_l1': 'لتر/100كم'}",https://car-pims-motors-content.dubizzlelabs.run/car_images/volkswagen/golf/8th-gen-9/volkswagen__golf__8th-gen-9__1.jpg,https://car-pims-motors-content.dubizzlelabs.run/Volkswagen_0ab1ab8296.png,0,1-2-tsi-sel,Volkswagen,Volkswagen Golf,volkswagen,golf
Volkswagen Golf 2.0L SE R (290 HP),فولكس فاجن جولف 2.0L SE R 290 HP,True,2000 cc,,,7.1,Volkswagen Golf,فولكس فاجن,0,0,0,0,0,0,0,0,6856,"{'full_name': 'Volkswagen Golf 2.0L SE R (290 HP)', 'full_name_l1': 'فولكس فاجن جولف 2.0L SE R 290 HP', 'abs': True, 'displacement': 2000, 'mileage_highway': None, 'mileage_city': None, 'fuel_economy': 7.1, 'model_name_l1': 'Volkswagen Golf', 'make_name_l1': 'فولكس فاجن', 'performance_rating': None, 'fuel_economy_rating': None, 'reliability_rating': None, 'technology_rating': None, 'comfort_rating': None, 'safety_rating': None, 'storage_rating': None, 'value_to_money_rating': None}",volkswagen,golf,0,/new-cars/volkswagen/golf/2-0l-se-r-290-hp,/car-reviews/volkswagen/golf/,2000  سي سي,Automatic,أوتوماتيك,"{'min': 7.1, 'max': 7.1, 'unit': 'liters/100km', 'unit_l1': 'لتر/100كم'}",https://car-pims-motors-content.dubizzlelabs.run/car_images/volkswagen/golf/8th-gen-9/volkswagen__golf__8th-gen-9__1.jpg,https://car-pims-motors-content.dubizzlelabs.run/Volkswagen_0ab1ab8296.png,311850,2-0l-se-r-290-hp,Volkswagen,Volkswagen Golf,volkswagen,golf
Volkswagen Golf GTI Package 1 (230 HP),فولكس فاجن جولف GTI Package 1 230 HP,True,2000 cc,,,6.3,Volkswagen Golf,فولكس فاجن,0,0,0,0,0,0,0,0,6853,"{'full_name': 'Volkswagen Golf GTI Package 1 (230 HP)', 'full_name_l1': 'فولكس فاجن جولف GTI Package 1 230 HP', 'abs': True, 'displacement': 2000, 'mileage_highway': None, 'mileage_city': None, 'fuel_economy': 6.3, 'model_name_l1': 'Volkswagen Golf', 'make_name_l1': 'فولكس فاجن', 'performance_rating': None, 'fuel_economy_rating': None, 'reliability_rating': None, 'technology_rating': None, 'comfort_rating': None, 'safety_rating': None, 'storage_rating': None, 'value_to_money_rating': None}",volkswagen,golf,0,/new-cars/volkswagen/golf/gti-package-1-230-hp,/car-reviews/volkswagen/golf/,2000  سي سي,Automatic,أوتوماتيك,"{'min': 6.3, 'max': 6.3, 'unit': 'liters/100km', 'unit_l1': 'لتر/100كم'}",https://car-pims-motors-content.dubizzlelabs.run/car_images/volkswagen/golf/8th-gen-9/volkswagen__golf__8th-gen-9__1.jpg,https://car-pims-motors-content.dubizzlelabs.run/Volkswagen_0ab1ab8296.png,202950,gti-package-1-230-hp,Volkswagen,Volkswagen Golf,volkswagen,golf
Volkswagen Golf GTI Clubsport,فولكس فاجن جولف GTI Clubsport,True,2000 cc,,,6.9,Volkswagen Golf,فولكس فاجن,0,0,0,0,0,0,0,0,6857,"{'full_name': 'Volkswagen Golf GTI Clubsport', 'full_name_l1': 'فولكس فاجن جولف GTI Clubsport', 'abs': True, 'displacement': 2000, 'mileage_highway': None, 'mileage_city': None, 'fuel_economy': 6.9, 'model_name_l1': 'Volkswagen Golf', 'make_name_l1': 'فولكس فاجن', 'performance_rating': None, 'fuel_economy_rating': None, 'reliability_rating': None, 'technology_rating': None, 'comfort_rating': None, 'safety_rating': None, 'storage_rating': None, 'value_to_money_rating': None}",volkswagen,golf,0,/new-cars/volkswagen/golf/gti-clubsport,/car-reviews/volkswagen/golf/,2000  سي سي,Automatic,أوتوماتيك,"{'min': 6.9, 'max': 6.9, 'unit': 'liters/100km', 'unit_l1': 'لتر/100كم'}",https://car-pims-motors-content.dubizzlelabs.run/car_images/volkswagen/golf/8th-gen-9/volkswagen__golf__8th-gen-9__1.jpg,https://car-pims-motors-content.dubizzlelabs.run/Volkswagen_0ab1ab8296.png,311850,gti-clubsport,Volkswagen,Volkswagen Golf,volkswagen,golf
